region, delta, t, consensus, firstResponse, tVmaxP1, 2tVmaxP1, linearizableT 
Melbourne,2,16,571.67,573.69,721.63,736.53,736.53
 LosAngeles,2,16,571.67,754.76,764.39,791.94,791.94
 Tokyo,2,16,571.67,744.35,826.58,839.05,839.05
 Amsterdam,2,16,571.67,671.75,697.5,764.01,764.01
 Frankfurt,2,16,571.67,673.57,698.72,763.65,763.65
 NewYork,2,16,571.67,707.22,732.33,759.68,759.68
 CapeTown,2,16,571.67,571.69,697.11,756.73,756.73
 SaoPaulo,2,16,571.67,736.69,806.95,831.31,831.31
 Cairo,2,16,571.67,700.28,755.5,817.62,817.62
 Istanbul,2,16,571.67,691.64,721.73,795.14,795.14
 Paris,2,16,571.67,672.27,696.78,764.19,764.19
 Montreal,2,16,571.67,707.91,739.3,765.16,765.16
region, delta, t, consensus, firstResponse, tVmaxP1, 2tVmaxP1, linearizableT 
Melbourne,2,16,119.48,120.48,157.95,164.24,164.24
 LosAngeles,2,16,119.48,172.59,174.06,177.24,177.24
 Tokyo,2,16,119.48,159.7,174.33,177.43,177.43
 Amsterdam,2,16,119.48,149.91,152.9,168.99,168.99
 Frankfurt,2,16,119.48,150.37,152.19,168.88,168.88
 NewYork,2,16,119.48,159.57,165.65,168.42,168.42
 CapeTown,2,16,119.48,120.48,150.86,158.48,158.48
 SaoPaulo,2,16,119.48,140.66,161.66,166.84,166.84
 Cairo,2,16,119.48,143.68,152.74,167.12,167.12
 Istanbul,2,16,119.48,147.35,152.9,168.24,168.24
 Paris,2,16,119.48,149.4,152.4,168.62,168.62
 Montreal,2,16,119.48,158.3,165.56,167.91,167.91
region, delta, t, consensus, firstResponse, tVmaxP1, 2tVmaxP1, linearizableT 
Melbourne,2,16,238.4,239.4,315.33,327.92,327.92
 LosAngeles,2,16,238.4,345.14,348.07,354.42,354.42
 Tokyo,2,16,238.4,318.84,348.61,354.8,354.8
 Amsterdam,2,16,238.4,299.27,305.74,337.92,337.92
 Frankfurt,2,16,238.4,300.69,304.32,337.7,337.7
 NewYork,2,16,238.4,318.57,331.25,336.8,336.8
 CapeTown,2,16,238.4,239.4,301.18,316.38,316.38
 SaoPaulo,2,16,238.4,280.76,323.26,333.62,333.62
 Cairo,2,16,238.4,286.8,305.42,334.17,334.17
 Istanbul,2,16,238.4,294.56,305.74,336.42,336.42
 Paris,2,16,238.4,298.23,304.73,337.19,337.19
 Montreal,2,16,238.4,316.04,331.04,335.76,335.76
